rank,name,code,price,24_H_change,24H_volume,market_cap
2342,Decentrahub Coin,DCNTR,$0.07906,-4.31%,N/A,"$140,014.17"
2172,Shadow Token,SHDW,$0.04013,-4.31%,N/A,"$280,911.77"
2085,Jarvis+,JAR,$0.003318,-6.63%,"$297,675.59","$358,835.54"
2129,Ninneko,NINO,$0.1278,-1.16%,"$382,465.57","$313,303.84"
1854,Project Inverse,XIV,$0.01963,+8.25%,"$494,434.58","$741,837.06"
2214,NuShares,NSR,$0.00004013,-56.21%,$2.10,"$235,269.30"
1905,Keep4r,KP4R,$7.35,-11.42%,$891.35,"$635,418.44"
1949,Benchmark Protocol,MARK,$1.43,+0.33%,"$3,175.80","$553,160.05"
1811,CVCoin,CVN,$0.06742,+0.48%,"$5,902.52","$834,705.04"
1996,Alliance Fan Token,ALL,$0.4801,-6.29%,"$9,365.61","$480,650.89"
1766,Islander,ISA,$0.001766,-5.00%,"$375,442.54","$963,556.79"
2044,Friendz,FDZ,$0.0008026,-4.31%,"$27,674.86","$415,815.46"
2384,ZumCoin,ZUM,$0.0001167,-1.86%,$0.1401,"$115,430.79"
2428,Matryx,MTX,$0.004061,-2.67%,$772.35,"$94,318.11"
2473,Devery,EVE,$0.001175,-9.08%,"$5,452.31","$73,921.34"
2559,MFCoin,MFC,$0.001634,-0.12%,N/A,"$34,154.70"
2601,ETHplode,ETHPLO,$0.0007644,-5.16%,N/A,"$33,508.36"
2512,Global Crypto Alliance,CALL,$0.0007625,-4.31%,$4.64,"$60,173.40"
2257,Playkey,PKT,$0.01167,-8.44%,"$100,286.04","$203,223.34"
2300,Rigel Protocol,RGP,$0.1012,-2.37%,"$150,255.41","$168,454.74"
2343,Aeryus,AER,$0.01138,"+1,955.37%",$2.99,"$139,838.83"
2173,Bitcoin Confidential,BC,$0.00003805,-24.58%,"$4,609.24","$280,257.36"
2086,Rise,RISE,$0.001846,+0.00%,$12.71,"$357,925.03"
2130,Bitcoin Green,BITG,$0.0262,-13.80%,$77.66,"$312,872.52"
1855,Azbit,AZ,$0.000008884,+0.46%,$275.16,"$737,925.50"
2215,Blue Whale EXchange,BWX,$0.005921,-10.32%,"$22,978.52","$234,417.92"
1906,2key.network,2KEY,$0.008108,+2.67%,"$3,108.95","$635,412.74"
1950,NIX,NIX,$0.01123,-5.40%,N/A,"$552,882.96"
1812,CryptoSoul,SOUL,$0.002623,+14.00%,"$1,475.62","$834,526.65"
1997,DecentraWeb,DWEB,$0.1431,-4.77%,"$1,077.40","$480,391.87"
1767,Scala,XLA,$0.00009417,-7.55%,"$6,635.93","$960,703.68"
2045,Club Atletico Independiente,CAI,$0.6355,-2.44%,"$12,879.27","$414,930.61"
2385,Noir,NOR,$0.005618,-10.69%,N/A,"$115,141.63"
2429,Lympo Market Token,LMT,$0.00305,-12.91%,"$3,648.24","$93,566.24"
2474,SteepCoin,STEEP,$0.0004013,-4.31%,N/A,"$72,838.52"
2560,Qbic,QBIC,$0.0004482,+0.00%,N/A,"$2,099.32"
2602,StarterCoin,STAC,$0.00009786,-6.08%,$39.61,"$33,470.11"
2513,Baguette Token,BGTT,$0.005173,-0.04%,N/A,"$60,056.10"
2258,Po.et,POE,$0.00006421,-9.94%,$11.55,"$201,716.65"
2301,SingularDTV,SNGLS,$0.0002967,+4.45%,$127.36,"$177,991.50"
2344,Meridian Network,LOCK,$0.01275,-5.78%,N/A,"$139,530.02"
2174,DOGEFI,DOGEFI,$0.2801,+0.00%,N/A,"$280,140.65"
2087,MesChain,MES,$0.000407,-15.98%,"$20,704.54","$356,130.44"
2131,WorkQuest Token,WQT,$0.01542,-4.65%,"$394,548.90","$312,424.32"
1856,Starbase,STAR,$0.00391,-0.02%,"$609,780.76","$733,118.08"
2216,NPCoin,NPC,$0.001585,+0.00%,N/A,"$114,871.99"
1907,BITTUP,BTU,$0.1341,+3.01%,N/A,"$719,981.81"
1951,VNX,VNXLU,$0.01966,-4.31%,N/A,"$552,645.86"
1812,OtterClam (New),CLAM,$8.06,-2.21%,"$52,846.98",$1.02 M
1998,Patientory,PTOY,$0.006822,-18.66%,$17.17,"$477,550.00"
1768,Venus BCH,vBCH,$6.20,-4.14%,N/A,"$957,725.47"
2046,Swace,SWACE,$0.0008051,-4.44%,$41.81,"$413,256.00"
2386,YENTEN,YTN,$0.002723,-1.36%,$47.28,"$114,244.78"
2430,SiaCashCoin,SCC,$0.000004189,+28.06%,$932.75,"$92,881.70"
2475,Rope,$ROPE,$2.60,-11.64%,$355.04,"$72,828.16"
2560,Blizzard Network,BLIZZ,$0.08099,-8.71%,$869.64,"$43,732.07"
2603,XOVBank,XOV,$0.0002286,-4.53%,N/A,"$32,402.41"
2514,Adzcoin,ADZ,$0.001204,-4.31%,N/A,"$59,987.15"
2259,Blue Protocol,BLUE,$0.005499,-5.25%,N/A,"$201,511.67"
2301,MELX,MEL,$0.008285,-13.99%,"$24,561.86","$168,190.26"
2345,Aigang,AIX,$0.00476,+15.46%,"$3,654.57","$139,346.78"
2175,Phoenix Token,PHX,$0.008456,-1.51%,"$208,331.28","$278,711.73"
2088,SparkPoint Fuel,SFUEL,$0.01252,-3.95%,"$1,352.83","$355,338.70"
2132,Alphacat,ACAT,$0.0001113,-4.73%,"$133,706.91","$310,457.10"
1857,Battle Hero,BATH,$0.01472,-2.30%,"$337,513.57","$732,887.85"
2216,Smoothy,SMTY,$0.04568,-5.17%,"$676,933.76","$232,526.24"
1907,NFTify,N1,$0.03116,-11.40%,"$33,385.21","$634,556.78"
1952,SPINDLE,SPD,$0.0001358,-5.21%,"$5,393.92","$550,112.46"
1813,NativeCoin,N8V,$0.03362,-6.58%,N/A,"$834,030.77"
1999,Storiqa,STQ,$0.00002454,+1.47%,N/A,"$267,962.97"
1769,Moneytoken,IMT,$0.00008378,-6.09%,"$37,645.29","$952,564.53"
2047,BitcoinPoS,BPS,$0.07941,-0.18%,$781.22,"$412,348.64"
2387,StrongHands Masternode,SHMN,$0.0314,+27.66%,$3.01,"$114,114.40"
2431,AllSafe,ASAFE,$0.01013,-19.47%,$108.27,"$92,655.77"
2476,NuBits,USNBT,$0.006625,+39.57%,$0.4974,"$72,757.69"
2561,SafeInsure,SINS,$0.001965,-6.28%,$11.56,"$43,728.58"
2604,Crypto Piece,BELLY,$0.0006117,-25.62%,$553.36,"$32,394.35"
2515,Bela,BELA,$0.001204,-4.31%,N/A,"$59,633.51"
2260,Chronologic,DAY,$0.1608,-6.09%,N/A,"$201,015.11"
2302,Collective,CO2,$0.6389,+41.90%,$417.26,"$167,326.70"
2346,MidasProtocol,MAS,$0.0007086,-0.39%,"$53,118.56","$138,568.17"
2176,Gems ,GEM,$0.0002305,+3.54%,$394.96,"$277,377.95"
2089,Dinamo Zagreb Fan Token,DZG,$0.7477,-9.99%,"$14,662.08","$355,170.65"
2132,fyeth.finance,YETH,$0.5715,-0.03%,N/A,"$315,752.09"
1858,BitScreener Token,BITX,$0.00835,-4.81%,"$2,796.48","$731,268.75"
2217,Open Governance Token,OPEN,$0.06391,-3.90%,"$22,969.47","$232,047.97"
1908,Katalyo,KTLYO,$0.05928,-4.91%,"$66,504.92","$634,013.67"
1953,Coin Artist,COIN,$0.5075,-8.97%,"$4,024.64","$548,702.88"
1814,Aluna.Social,ALN,$0.02193,-5.83%,"$98,870.55","$826,973.88"
1999,CryptEx,CRX,$5.61,-3.67%,$509.46,"$476,780.20"
1770,DFSocial Gaming,DFSG,$0.07709,-2.01%,"$18,710.39","$949,849.79"
2048,bAlpha,BALPHA,$22.88,+2.21%,"$521,755.98","$411,839.33"
2388,Sakura Bloom,SKB,$0.00004403,-76.56%,$45.10,"$113,733.41"
2432,Fivebalance,FBN,$0.00008378,-6.09%,N/A,"$91,531.35"
2477,Crowd Machine,CMCT,$0.0001198,+9.59%,$243.25,"$56,304.10"
2562,Innova,INN,$0.006297,-1.23%,$87.14,"$43,458.25"
2605,LassoCoin,LASSO,$0.001184,-4.37%,$308.56,"$32,294.95"
2516,Renewable Electronic Energy Coin,REEC,$0.0001691,-6.11%,$570.72,"$58,820.93"
2261,CorionX,CORX,$0.001546,-0.59%,"$107,228.73","$200,944.87"
2303,Rubies,RBIES,$0.01605,-4.31%,N/A,"$167,186.67"
2347,Niobium Coin,NBC,$0.002209,-11.53%,N/A,"$138,363.54"
2176,Sharpay,S,$0.0002917,+0.35%,N/A,"$361,829.39"
2090,Knight War - The Holy Trio,KWS,$0.01119,-5.19%,"$58,000.78","$352,418.93"
2133,1Million Token,1MT,$0.3117,+2.95%,N/A,"$310,385.28"
1859,QChi,QCH,$0.02229,-6.09%,"$2,718.57","$730,014.78"
2218,CREDIT,CREDIT,$0.00009537,+8.79%,"$65,234.61","$231,325.02"
1909,Spaceswap SHAKE,SHAKE,$831.57,-5.25%,"$34,808.54","$631,160.79"
1954,DMarket,DMT,$0.009631,-6.13%,$11.57,"$548,228.43"
1815,Ravencoin Classic,RVC,$0.00007864,+3.02%,"$27,644.31","$825,797.11"
2000,Defis Network,DFS,$1.28,-4.91%,"$88,074.81","$475,888.58"
1771,AppCoins,APPC,$0.003907,-52.91%,$89.77,"$948,952.89"
2049,RigoBlock,GRG,$0.1505,+9.78%,"$1,627.52","$406,474.84"
2389,Ormeus Coin,ORMEUS,$0.003138,-10.50%,"$4,999.99","$112,684.73"
2433,Bolivarcoin,BOLI,$0.005458,+16.20%,"$2,007.97","$91,417.71"
2477,Payfair,PFR,$0.001845,+0.00%,N/A,"$72,583.30"
2563,Onix,ONX,$0.0004013,-4.31%,N/A,"$42,968.58"
2606,Bitcoin Classic,BXC,$0.05337,+24.77%,$9.86,"$32,031.81"
2517,SBank,STS,$0.004013,+350.04%,$40.05,"$58,790.82"
2262,Ritocoin,RITO,$0.0001204,-28.23%,$20.27,"$200,639.71"
2304,Unvest,UNV,$0.006246,-11.99%,$948.46,"$166,222.21"
2348,ANON,ANON,$0.01806,-6.39%,$191.02,"$137,133.54"
2177,PiplCoin,PIPL,$0.001605,-4.31%,$0.002826,"$276,957.83"
2091,Catex Token,CATT,$0.0004605,+4.15%,"$1,173.43","$352,093.77"
2134,Masari,MSR,$0.01926,-0.15%,$188.73,"$309,073.88"
1860,WeTrust,TRST,$0.007903,-5.42%,$71.95,"$728,241.43"
2219,InvestFeed,IFT,$0.001204,-28.23%,$21.72,"$230,405.34"
1910,8X8 PROTOCOL,EXE,$0.002031,-5.17%,"$72,318.71","$629,499.21"
1955,UniFarm,UFARM,$0.01428,+4.26%,"$49,527.69","$547,895.79"
1816,Streamity,STM,$0.02292,-5.41%,N/A,"$824,773.20"
2001,Banca,BANCA,$0.00002653,-5.09%,"$22,715.46","$475,612.64"
1772,Polinate,POLI,$0.00701,-3.92%,"$15,896.51","$948,394.21"
2050,keyTango,TANGO,$0.04416,-5.52%,"$21,312.08","$406,328.20"
2390,Blocktix,TIX,$0.002809,-4.31%,N/A,"$112,364.71"
2434,1MillionNFTs,1MIL,$0.7547,-0.07%,"$18,587.37","$90,560.80"
2478,Boosted Finance,BOOST,$1.20,+5.27%,"$62,242.45","$71,859.85"
2564,ICOBID,ICOB,$0.0004013,-4.31%,N/A,"$42,958.82"
2607,Aditus,ADI,$0.0001366,-3.53%,"$98,117.02","$31,975.76"
2518,Sociall,SCL,$0.003499,-4.31%,N/A,"$58,488.34"
2263,Method Finance,MTHD,$0.004794,-4.64%,N/A,"$199,242.58"
2305,Yap Stone,YAP,$0.001252,+0.00%,N/A,"$187,860.38"
2349,Fortuna,FOTA,$0.0002932,-2.08%,$0.37,"$140,732.79"
2177,MEXC Token,MEXC,$0.0002597,+1.04%,N/A,"$268,152.61"
2092,Shield Protocol,SHIELD,$1.44,-3.79%,"$3,346.04","$351,104.86"
2135,Nsure.Network,NSURE,$0.05452,-2.85%,$1.53 M,"$309,055.82"
1861,Vipstar Coin,VIPS,$0.00001484,-5.40%,$2.12,"$725,149.34"
2220,NeoWorld Cash,NASH,$0.000009667,-8.87%,"$1,457.69","$229,197.54"
1911,Cryptopolis,CPO,$0.04241,-1.84%,"$369,181.32","$625,208.78"
1956,QUINADS,QUIN,$0.00004109,-7.28%,N/A,"$546,231.49"
1817,Multiplier,MXX,$0.005976,-5.78%,N/A,"$822,633.51"
2001,Pylon Network,PYLNT,$0.7384,+54.26%,N/A,"$444,515.43"
1773,Vetri,VLD,$0.002565,-4.70%,N/A,"$946,564.87"
2051,Zennies,ZENI,$0.0004013,-4.31%,N/A,"$401,628.72"
2391,megaBONK,MBONK,$0.03742,+40.08%,"$4,833.81","$112,256.36"
2435,Startcoin,START,$0.002007,-4.31%,N/A,"$90,453.16"
2479,AI Doctor,AIDOC,$0.00009033,-7.07%,$701.19,"$70,259.15"
2564,MU DANK,DANK,$0.001771,+0.00%,N/A,"$43,543.33"
2608,Pirl,PIRL,$0.0004283,+0.00%,N/A,"$36,230.87"
2519,Ducato Protocol Token,DUCATO,$0.04502,-31.82%,$268.85,"$57,628.93"
2264,Coinsuper Ecosystem Network,CEN,$0.0006602,+0.00%,N/A,"$236,686.90"
2305,Unicly Doki Doki Collection,UDOKI,$0.0001658,-5.78%,N/A,"$165,814.56"
2349,Wolf Safe Poor People (Polygon),WSPP,$0.00007136,-18.93%,$1.17 M,"$136,254.30"
2178,GoldenPyrex,GPYX,$0.0276,-2.63%,$766.39,"$276,006.18"
2093,XcelToken Plus,XLAB,$0.00001096,+8.32%,"$3,967.61","$350,574.27"
2136,Arata,ARATA,$0.3067,-2.62%,N/A,"$306,665.13"
1862,Vodra,VDR,$0.00504,-4.01%,"$10,470.04","$721,473.30"
2221,Rotten,ROT,$0.002446,+2.77%,N/A,"$304,536.31"
1912,Universidad de Chile Fan Token,UCH,$2.89,-7.11%,"$20,230.08","$621,657.04"
1957,Apollon Limassol,APL,$1.65,-4.40%,"$23,100.47","$544,914.78"
1818,Corra.Finance,CORA,$0.5476,-2.34%,"$34,833.68","$821,467.06"
2002,Zebi Token,ZEBI,$0.0005042,-21.04%,"$3,876.70","$475,152.46"
1775,Forest Knight,KNIGHT,$0.1714,-11.21%,"$102,546.72","$940,663.51"
2052,Ethereum Stake,ETHYS,$2.01,-5.78%,N/A,"$401,620.02"
2392,Elysian,ELY,$0.001145,-3.74%,"$113,209.17","$112,174.61"
2436,CPUchain,CPU,$0.001521,-4.31%,N/A,"$90,309.41"
2480,BitcoiNote,BTCN,$0.005217,-11.14%,$3.49,"$69,762.16"
2565,Global Currency Reserve,GCR,$0.0004013,-4.31%,N/A,"$42,949.09"
2608,Widercoin,WDR,$0.0005005,-12.37%,"$2,044.65","$31,663.26"
2520,Axe,AXE,$0.01074,-4.82%,"$52,167.30","$56,485.46"
2264,Roush Fenway Racing Fan Token,ROUSH,$0.5273,-0.75%,"$8,191.69","$197,742.64"
2306,PopularCoin,POP,$0.00003591,+0.72%,N/A,"$149,566.74"
2350,PKG Token,PKG,$0.00001508,-6.09%,$564.39,"$135,264.86"
2179,UGAS,UGAS,$0.001604,-3.43%,"$110,649.95","$275,403.65"
2094,Power Index Pool Token,PIPT,$1.74,-5.78%,$0.1743,"$348,107.26"
2137,MoonTools,MOONS,$11.15,-5.78%,N/A,"$306,573.23"
1863,ZClassic,ZCL,$0.07758,-4.85%,"$1,432.73","$720,466.18"
2221,Bitstar,BITS,$0.01084,-4.31%,N/A,"$229,110.83"
1913,Naka Bodhi Token,NBOT,$0.008863,+0.07%,"$36,198.24","$620,435.89"
1958,VikkyToken,VIKKY,$0.0001447,-1.87%,N/A,"$539,137.53"
1819,AirNFTs,AIRT,$0.007332,-5.23%,"$13,095.03","$821,463.26"
2003,GeoCoin,GEO,$0.1481,-3.52%,$555.94,"$470,978.02"
1776,PieDAO DEFI++,DEFI++,$2.80,+0.00%,N/A,"$938,614.80"
2053,MarsX,MX,$0.001761,-25.79%,N/A,"$401,377.11"
2393,Depth Token,DEP,$0.000212,+1.41%,"$114,594.90","$111,883.09"
2437,Secure Pad,SEPA,$1.12,-5.78%,N/A,"$89,785.26"
2481,PRIA,PRIA,$1.01,-5.78%,N/A,"$69,720.70"
2566,Digital Money Bits,DMB,$0.0004013,-4.31%,N/A,"$42,607.88"
2609,Mate,MATE,$0.01167,-4.75%,"$5,184.06","$31,508.69"
2521,Ccore,CCO,$0.03298,+23.37%,$107.07,"$56,070.35"
2265,Thrive Token,THRT,$0.001802,-2.12%,N/A,"$186,062.93"
2306,Levante U.D. Fan Token,LEV,$1.65,-7.44%,"$19,718.58","$165,277.43"
2351,MemeCoin Factory,FACTORY,$0.0000498,-7.94%,$301.14,"$134,215.56"
2179,FUD.finance,FUD,$13.30,+0.54%,N/A,"$283,497.66"
2095,CryptoTask,CTASK,$0.2867,-3.76%,"$40,482.38","$348,028.06"
2137,nYFI,N0031,$0.1148,-0.04%,N/A,"$306,793.61"
1864,REVIVAL,RVL,$0.000000002413,-11.65%,"$15,203.62","$719,504.21"
2222,Bitether,BTR,$0.004013,-4.31%,N/A,"$227,680.16"
1914,SophiaTX,SPHTX,$0.001875,-5.85%,N/A,"$620,272.63"
1959,Bunicorn,BUNI,$0.01914,-5.75%,"$87,236.51","$536,907.79"
1820,SnowSwap,SNOW,$1.77,-10.36%,"$49,725.06","$820,337.86"
2004,GokuMarket Credit,GMC,$0.1492,+2.68%,$693.11,"$470,837.35"
1777,Stake DAO,SDT,$1.32,-10.27%,"$105,861.85","$937,449.29"
2054,NFTX Hashmasks Index,MASK,"$2,029.31",-11.19%,$368.76,"$400,651.35"
2394,Fireball,FIRE,$5.62,-5.78%,N/A,"$110,523.48"
2438,Cheesecoin,CHEESE,$0.0002188,+2.68%,$2.46,"$89,468.67"
2482,BitCash,BITC,$0.003123,-9.04%,$91.50,"$69,323.67"
2567,ICE ROCK MINING,ROCK2,$0.002681,-6.09%,N/A,"$42,157.66"
2610,Bitcoiin,B2G,$0.0005772,+2.35%,N/A,"$30,456.22"
2522,KUN,KUN,$27.99,+0.07%,$235.56,"$55,988.11"
2265,Samusky,SAMU,$0.0003555,-0.32%,$102.37,"$194,744.38"
2307,AquariusCoin,ARCO,$0.04375,-4.27%,N/A,"$164,938.13"
2352,YVS.Finance,YVS,$0.1052,-3.76%,"$34,690.88","$133,452.05"
2180,HEAT,HEAT,$0.005618,-4.31%,N/A,"$275,054.47"
2096,ACoconut,AC,$0.1307,-6.25%,"$37,679.71","$347,985.18"
2138,BarterTrade,BART,$0.004477,-3.94%,"$132,587.74","$305,193.26"
1865,TotemFi,TOTM,$0.1176,-0.67%,"$14,234.57","$718,717.66"
2222,Yfscience,YFSI,$8.15,+1.11%,N/A,"$226,106.61"
1914,Libertas Token,LIBERTAS,$0.006551,+0.00%,N/A,"$615,598.20"
1960,xSigma,SIG,$0.05383,-6.03%,"$2,792.62","$536,854.92"
1821,Alpha Token,A,$0.02361,-5.05%,N/A,"$819,866.02"
2005,Lepricon,L3P,$0.003196,-2.32%,"$60,518.41","$469,955.51"
1778,XMax,XMX,$0.00004828,+3.56%,"$48,227.17","$930,612.26"
2055,Xion Finance,XGT,$0.04018,-4.25%,"$2,173.12","$400,229.81"
2395,NestEGG Coin,EGG,$0.002607,+17.93%,"$1,341.48","$110,373.69"
2439,CUE Protocol,CUE,$11.46,-2.96%,$703.05,"$87,319.57"
2483,BLOC.MONEY,BLOC,$0.00321,+9.36%,$59.18,"$69,096.23"
2568,ArbitrageCT,ARCT,$0.0004013,-4.31%,N/A,"$41,998.63"
2610,EagleX,EGX,$0.000566,+3.04%,N/A,"$19,007.97"
2523,Gravity,GZRO,$0.00004013,-4.31%,N/A,"$55,613.42"
2266,PYRO Network,PYRO,$0.0002425,-4.62%,N/A,"$194,551.58"
2308,Cobinhood,COB,$0.0004013,-4.31%,N/A,"$164,935.28"
2353,BoutsPro,BOUTS,$0.001722,-5.36%,N/A,"$131,964.10"
2181,LunchMoney,LMY,$0.001843,-6.09%,$1.77,"$274,640.72"
2097,CustomContractNetwork,CCN,$0.0002146,-4.43%,N/A,"$347,857.14"
2139,Alanyaspor Fan Token,ALA,$0.9838,-7.78%,"$14,035.46","$304,981.13"
1866,Manna,MANNA,$0.001084,-4.20%,$0.02143,"$716,527.02"
2223,AiLink Token,ALI,$0.00004385,-1.04%,"$2,363.21","$227,300.86"
1915,DexKit,KIT,$0.7697,-9.26%,$271.95,"$614,937.41"
1961,4THPILLAR TECHNOLOGIES,FOUR,$0.004223,-21.40%,"$58,130.08","$535,955.43"
1822,PlayFuel,PLF,$0.001634,-2.20%,$1.38 M,"$817,139.93"
2006,Pakcoin,PAK,$0.006822,+116.90%,$267.79,"$467,963.19"
1779,Posscoin,POSS,$0.00003857,+2.07%,N/A,$1.16 M
2056,Dogeswap,DOGES,$20.01,+3.73%,$240.45,"$400,200.93"
2395,StaysBASE,SBS,$0.02643,+0.46%,N/A,"$88,578.06"
2440,DATx,DATX,$0.00006247,-8.21%,"$18,136.95","$86,920.34"
2483,STK,STK,$0.0002563,-0.24%,N/A,"$88,168.22"
2569,EvenCoin,EVN,$0.001339,-13.99%,"$196,472.86","$41,831.09"
2610,Coin2.1,C2,$0.0004013,-4.31%,N/A,"$31,400.31"
2524,BitGuild PLAT,PLAT,$0.0009062,-0.06%,"$12,550.20","$53,978.63"
2267,FansTime,FTI,$0.00006745,-6.39%,"$43,736.26","$192,227.05"
2309,ATC Coin,ATCC,$0.0004013,-4.31%,$2.74,"$164,515.49"
2353,Fusible,FUSII,$0.2665,-0.03%,N/A,"$110,693.54"
2182,Ubricoin,UBN,$0.0001173,-6.09%,N/A,"$274,189.78"
2098,Datamine FLUX,FLUX,$0.3028,+3.35%,"$2,419.27","$344,670.61"
2140,Font,FONT,$0.6249,-10.90%,"$3,177.82","$304,542.97"
1867,MyWish,WISH,$0.07476,-27.73%,$3.36,"$713,678.55"
2224,TagCoin,TAG,$0.03531,-4.31%,N/A,"$227,209.53"
1916,VNT Chain,VNT,$0.0002261,+3.68%,"$135,463.52","$614,423.23"
1962,Faceter,FACE,$0.001136,+2.71%,"$2,054.77","$531,829.53"
1823,Mochi Market,MOMA,$0.03503,-6.71%,"$87,909.63","$816,064.50"
2007,Kingdom Game 4.0,KDG,$0.004694,+5.02%,"$463,312.54","$463,775.37"
1779,KeyFi,KEYFI,$0.3453,-7.45%,"$8,503.78","$928,199.32"
2057,AstroTools,ASTRO,$0.1333,-5.78%,N/A,"$399,918.80"
2396,LUXCoin,LUX,$0.008427,-16.27%,$39.27,"$109,375.06"
2441,SuperCoin,SUPER,$0.001605,+27.59%,$0.008074,"$86,896.64"
2484,Arbidex,ABX,$0.002931,-2.32%,"$69,056.68","$69,056.85"
2570,Pyrk,PYRK,$0.002636,-38.89%,"$1,727.65","$41,596.82"
2611,Centurion,CNT,$0.0004013,-4.31%,N/A,"$31,166.69"
2525,Biotron,BTRN,$0.0008026,-4.31%,N/A,"$52,944.46"
2267,Photon,PHO,$0.000004405,+0.00%,N/A,"$191,492.96"
2310,Scrypta,LYRA,$0.008026,-4.31%,N/A,"$163,735.29"
2354,PluraCoin,PLURA,$0.0001511,-5.27%,$4.76,"$131,409.89"
2183,Chonk,CHONK,$7.03,-5.78%,N/A,"$274,069.70"
2099,Qbao,QBT,$0.005264,-2.50%,"$52,436.85","$344,040.26"
2141,AFEN Blockchain,AFEN,$0.002068,-6.11%,"$306,028.82","$303,722.94"
1868,Digital Fitness,DEFIT,$0.02886,-8.68%,"$1,276.57","$707,372.37"
2225,Ethereum Gold,ETG,$0.0112,-5.65%,$6.07,"$226,239.32"
1917,Pepemon Pepeballs,PPBLZ,$43.07,-5.78%,N/A,"$602,912.13"
1963,yTSLA Finance,yTSLA,$7.97,+0.17%,"$83,336.52","$529,696.37"
1824,Nexalt,XLT,$0.02413,+96.80%,"$65,351.82","$815,609.54"
2008,Bean Cash,BITB,$0.0001008,-9.34%,$593.64,"$463,043.17"
1780,Kangal,KANGAL,$0.000009266,-8.38%,"$13,344.77","$926,578.62"
2058,DeHive,DHV,$0.4728,-0.78%,"$202,213.30","$399,427.11"
2397,Unicly Chris McCann Collection,UCM,$0.1085,-2.44%,N/A,"$108,544.24"
2442,Privatix,PRIX,$0.07705,-24.39%,"$24,281.77","$86,716.43"
2484,ebakus,EBK,$0.0005745,+0.74%,N/A,"$52,355.93"
2571,ITO Utility Token,IUT,$0.0004468,-6.09%,N/A,"$41,206.77"
2612,Arion,ARION,$0.002007,-31.65%,$73.97,"$31,157.83"
2526,VoteCoin,VOT,$0.0004013,-4.31%,N/A,"$52,559.95"
2268,Solaris,XLR,$0.1324,-4.61%,"$52,163.57","$191,828.02"
2311,Penta,PNT,$0.000007785,-7.64%,$757.04,"$163,602.13"
2355,GoNetwork,GOT,$0.001822,-3.46%,"$34,814.14","$131,167.97"
2184,Netbox Coin,NBX,$0.003463,-17.69%,"$4,222.56","$273,141.04"
2100,Bobo Cash,BOBO,$0.000000995,-5.78%,N/A,"$343,248.01"
2142,DAOventures,DVD,$0.03301,-13.62%,"$6,623.49","$303,668.13"
1869,DomRaider,DRT,$0.001193,-5.21%,N/A,"$705,375.09"
2226,Golden Goose,GOLD,$0.001361,-1.97%,"$76,004.81","$225,990.11"
1918,Nuco.cloud,NCDT,$0.02406,-20.66%,"$3,563.10","$601,401.95"
1964,Beer Money,BEER,$0.01323,-4.48%,"$25,433.76","$529,079.59"
1825,Genesis Shards,GS,$0.06744,-7.46%,"$17,980.57","$811,335.93"
2009,BlueCoin,BLU,$0.0008026,-4.31%,N/A,"$461,244.02"
1781,AmonD,AMON,$0.001106,+0.09%,"$7,979.63","$924,941.11"
2059,Pigeoncoin,PGN,$0.00005315,+3.49%,"$11,365.34","$399,401.29"
2398,Innovative Bioresearch Coin,INNBC,$0.0000001504,+15.70%,$138.13,"$108,441.94"
2443,PayCoin,XPY,$0.007223,-4.31%,N/A,"$86,647.70"
2485,DEJAVE,DJV,$26.21,-4.44%,$0.002636,"$69,056.66"
2572,GuccioneCoin,GCC,$0.002007,-4.31%,N/A,"$40,703.19"
2612,MORPHOSE,MORPH,$0.3806,+1.46%,N/A,"$29,336.68"
2527,FuzzBalls,FUZZ,$0.01084,-4.31%,N/A,"$52,333.27"
2269,Zloadr,ZDR,$0.03529,-5.07%,N/A,"$191,477.85"
2312,Fortuna Sittard Fan Token,FOR,$1.13,-6.67%,"$14,246.85","$163,191.79"
2356,Rapids,RPD,$0.01228,+7.86%,$0.4474,"$130,931.82"
2185,CREA,CREA,$0.01405,-11.86%,$3.25,"$271,469.11"
2101,Big Digital Shares,BDS,$0.006864,-7.47%,"$8,909.63","$343,196.94"
2143,DACSEE,DACS,$0.0004013,-4.31%,N/A,"$302,970.72"
1870,Digital Reserve Currency,DRC,$0.000702,-6.90%,"$1,582.85","$702,022.62"
2227,Stipend,SPD,$0.01734,-4.31%,N/A,"$225,884.53"
1919,VegaWallet Token,VGW,$0.03732,+77.99%,$6.19,"$599,676.01"
1965,NEXT,NEXT,$0.08437,-5.78%,N/A,"$525,544.77"
1826,Niftify,NIFT,$0.07054,-12.55%,"$242,053.19","$811,230.45"
2010,Actinium,ACM,$0.01178,-8.70%,"$7,785.33","$460,197.77"
1782,Substratum,SUB,$0.002413,+0.70%,$813.89,"$924,174.71"
2060,Save Environment Token,SET,$0.4147,-5.27%,N/A,"$398,499.02"
2399,Zilla,ZLA,$0.001806,-11.21%,$232.28,"$108,351.68"
2443,Artfinity,AT,$0.0007804,-0.01%,N/A,"$97,311.99"
2486,Elementeum,ELET,$0.01314,-26.58%,$98.54,"$68,634.36"
2573,Bridge Protocol,BRDG,$0.0001815,+6.14%,N/A,"$40,664.82"
2613,CashHand,CHND,$0.01888,+36.16%,$529.46,"$31,011.64"
2528,Bintex Futures,BNTX,$0.5184,+0.00%,"$16,624.00","$52,234.23"
